talker_2	talker_1	phone_2	phone_1	by	score	n
25	20	hh	k	iy-ae	0.671875	64
25	20	k	dh	iy-ae	0.8125	32
25	20	k	hh	iy-ae	0.975	160
25	23	dh	hh	iy-ae	0.847777777778	900
25	23	dh	k	iy-ae	0.9	160
25	23	hh	dh	iy-ae	0.638888888889	360
25	23	hh	k	iy-ae	0.736111111111	144
25	23	k	dh	iy-ae	0.79375	160
25	23	k	hh	iy-ae	0.905555555556	360
25	24	dh	hh	iy-ae	0.608333333333	600
25	24	dh	k	iy-ae	0.520833333333	48
25	24	hh	dh	iy-ae	0.5375	240
25	24	hh	k	iy-ae	0.5	80
25	24	k	dh	iy-ae	0.8125	48
25	24	k	hh	iy-ae	0.76	200
25	26	dh	hh	iy-ae	0.628571428571	70
25	26	dh	k	iy-ae	1.0	16
25	26	hh	dh	iy-ae	0.607142857143	28
25	26	hh	k	iy-ae	1.0	112
25	26	k	dh	iy-ae	0.5	16
25	26	k	hh	iy-ae	0.964285714286	280
25	27	dh	hh	iy-ae	0.21	100
25	27	dh	k	iy-ae	0.791666666667	24
25	27	hh	dh	iy-ae	0.9	40
25	27	hh	k	iy-ae	0.8875	240
25	27	k	dh	iy-ae	1.0	24
25	27	k	hh	iy-ae	0.888333333333	600
25	29	dh	hh	iy-ae	0.818333333333	600
25	29	dh	k	iy-ae	0.9375	48
25	29	hh	dh	iy-ae	0.620833333333	240
25	29	hh	k	iy-ae	0.9125	80
25	29	k	dh	iy-ae	0.916666666667	48
25	29	k	hh	iy-ae	0.975	200
25	30	dh	hh	iy-ae	0.593333333333	900
25	30	dh	k	iy-ae	0.87962962963	108
25	30	hh	dh	iy-ae	0.583333333333	360
25	30	hh	k	iy-ae	0.866666666667	120
25	30	k	dh	iy-ae	0.768518518519	108
25	30	k	hh	iy-ae	0.956666666667	300
25	31	dh	hh	iy-ae	0.594	500
25	31	dh	k	iy-ae	0.85	40
25	31	hh	dh	iy-ae	0.88	200
25	31	hh	k	iy-ae	1.0	80
25	31	k	dh	iy-ae	0.85	40
25	31	k	hh	iy-ae	0.665	200
25	32	dh	hh	iy-ae	0.835416666667	480
25	32	dh	k	iy-ae	0.697916666667	96
25	32	hh	dh	iy-ae	0.614583333333	192
25	32	hh	k	iy-ae	0.6328125	128
25	32	k	dh	iy-ae	0.677083333333	96
25	32	k	hh	iy-ae	0.903125	320
25	33	dh	hh	iy-ae	0.716	250
25	33	dh	k	iy-ae	0.91	100
25	33	hh	dh	iy-ae	0.78	100
25	33	hh	k	iy-ae	0.86	100
25	33	k	dh	iy-ae	0.84	100
25	33	k	hh	iy-ae	0.812	250
26	1	dh	hh	iy-ae	0.663265306122	196
26	1	dh	k	iy-ae	0.84375	64
26	1	hh	dh	iy-ae	0.285714285714	28
26	1	hh	k	iy-ae	0.955357142857	112
26	1	k	dh	iy-ae	0.6875	16
26	1	k	hh	iy-ae	0.90306122449	196
26	20	dh	hh	iy-ae	0.857142857143	224
26	20	dh	k	iy-ae	0.6875	32
26	20	hh	dh	iy-ae	0.59375	32
26	20	hh	k	iy-ae	0.609375	64
26	20	k	dh	iy-ae	1.0	8
26	20	k	hh	iy-ae	0.991071428571	112
26	23	dh	hh	iy-ae	0.738095238095	630
26	23	dh	k	iy-ae	0.88125	160
26	23	hh	dh	iy-ae	0.4	90
26	23	hh	k	iy-ae	0.840277777778	144
26	23	k	dh	iy-ae	0.55	40
26	23	k	hh	iy-ae	0.734126984127	252
26	24	dh	hh	iy-ae	0.578571428571	420
26	24	dh	k	iy-ae	0.604166666667	48
26	24	hh	dh	iy-ae	0.366666666667	60
26	24	hh	k	iy-ae	0.6125	80
26	24	k	dh	iy-ae	0.75	12
26	24	k	hh	iy-ae	0.885714285714	140
26	25	dh	hh	iy-ae	0.953571428571	280
26	25	dh	k	iy-ae	0.890625	64
26	25	hh	dh	iy-ae	0.225	40
26	25	hh	k	iy-ae	0.98125	160
26	25	k	dh	iy-ae	1.0	16
26	25	k	hh	iy-ae	0.960714285714	280
26	27	dh	hh	iy-ae	0.2	70
26	27	dh	k	iy-ae	1.0	24
26	27	hh	dh	iy-ae	1.0	10
26	27	hh	k	iy-ae	0.933333333333	240
26	27	k	dh	iy-ae	1.0	6
26	27	k	hh	iy-ae	0.883333333333	420
26	29	dh	hh	iy-ae	0.690476190476	420
26	29	dh	k	iy-ae	1.0	48
26	29	hh	dh	iy-ae	0.233333333333	60
26	29	hh	k	iy-ae	0.9125	80
26	29	k	dh	iy-ae	1.0	12
26	29	k	hh	iy-ae	0.928571428571	140
26	30	dh	hh	iy-ae	0.515873015873	630
26	30	dh	k	iy-ae	0.861111111111	108
26	30	hh	dh	iy-ae	0.433333333333	90
26	30	hh	k	iy-ae	0.95	120
26	30	k	dh	iy-ae	1.0	27
26	30	k	hh	iy-ae	0.92380952381	210
26	31	dh	hh	iy-ae	0.765714285714	350
26	31	dh	k	iy-ae	0.8	40
26	31	hh	dh	iy-ae	0.76	50
26	31	hh	k	iy-ae	1.0	80
26	31	k	dh	iy-ae	1.0	10
26	31	k	hh	iy-ae	0.892857142857	140
26	32	dh	hh	iy-ae	0.8125	336
26	32	dh	k	iy-ae	0.65625	96
26	32	hh	dh	iy-ae	0.208333333333	48
26	32	hh	k	iy-ae	0.6875	128
26	32	k	dh	iy-ae	0.583333333333	24
26	32	k	hh	iy-ae	0.857142857143	224
26	33	dh	hh	iy-ae	0.731428571429	175
26	33	dh	k	iy-ae	0.89	100
26	33	hh	dh	iy-ae	0.52	25
26	33	hh	k	iy-ae	0.71	100
26	33	k	dh	iy-ae	0.76	25
26	33	k	hh	iy-ae	0.794285714286	175
27	1	dh	hh	iy-ae	0.492857142857	280
27	1	dh	k	iy-ae	0.84375	96
27	1	hh	dh	iy-ae	0.392857142857	28
27	1	hh	k	iy-ae	0.970238095238	168
27	1	k	dh	iy-ae	0.5625	16
27	1	k	hh	iy-ae	0.575	280
27	20	dh	hh	iy-ae	0.478125	320
27	20	dh	k	iy-ae	0.604166666667	48
27	20	hh	dh	iy-ae	0.84375	32
27	20	hh	k	iy-ae	0.583333333333	96
27	20	k	dh	iy-ae	1.0	8
27	20	k	hh	iy-ae	0.7125	160
27	23	dh	hh	iy-ae	0.821111111111	900
27	23	dh	k	iy-ae	0.8125	240
27	23	hh	dh	iy-ae	0.511111111111	90
27	23	hh	k	iy-ae	0.694444444444	216
27	23	k	dh	iy-ae	0.725	40
27	23	k	hh	iy-ae	0.844444444444	360
27	24	dh	hh	iy-ae	0.626666666667	600
27	24	dh	k	iy-ae	0.5	72
27	24	hh	dh	iy-ae	0.433333333333	60
27	24	hh	k	iy-ae	0.525	120
27	24	k	dh	iy-ae	0.75	12
27	24	k	hh	iy-ae	0.725	200
27	25	dh	hh	iy-ae	0.6975	400
27	25	dh	k	iy-ae	0.90625	96
27	25	hh	dh	iy-ae	0.25	40
27	25	hh	k	iy-ae	0.916666666667	240
27	25	k	dh	iy-ae	1.0	16
27	25	k	hh	iy-ae	0.885	400
27	26	dh	hh	iy-ae	0.6	70
27	26	dh	k	iy-ae	1.0	24
27	26	hh	dh	iy-ae	1.0	7
27	26	hh	k	iy-ae	1.0	168
27	26	k	dh	iy-ae	1.0	4
27	26	k	hh	iy-ae	0.646428571429	280
27	29	dh	hh	iy-ae	0.628333333333	600
27	29	dh	k	iy-ae	0.972222222222	72
27	29	hh	dh	iy-ae	0.45	60
27	29	hh	k	iy-ae	0.925	120
27	29	k	dh	iy-ae	1.0	12
27	29	k	hh	iy-ae	0.965	200
27	30	dh	hh	iy-ae	0.483333333333	900
27	30	dh	k	iy-ae	0.876543209877	162
27	30	hh	dh	iy-ae	0.855555555556	90
27	30	hh	k	iy-ae	0.938888888889	180
27	30	k	dh	iy-ae	1.0	27
27	30	k	hh	iy-ae	0.85	300
27	31	dh	hh	iy-ae	0.35	500
27	31	dh	k	iy-ae	0.783333333333	60
27	31	hh	dh	iy-ae	0.88	50
27	31	hh	k	iy-ae	0.983333333333	120
27	31	k	dh	iy-ae	0.8	10
27	31	k	hh	iy-ae	0.52	200
27	32	dh	hh	iy-ae	0.672916666667	480
27	32	dh	k	iy-ae	0.701388888889	144
